,number,value,datetime_start,datetime_complete,duration,params_alpha,params_topK,state
79,79,0.03142902614081394,2023-12-18 19:28:12.354156,2023-12-18 19:28:21.135116,0 days 00:00:08.780960,0.4701382739737286,564,COMPLETE
80,80,0.03142372380066702,2023-12-18 19:28:21.136041,2023-12-18 19:28:29.493499,0 days 00:00:08.357458,0.3992476044399076,551,COMPLETE
81,81,0.03148705137694799,2023-12-18 19:28:29.494431,2023-12-18 19:28:38.086148,0 days 00:00:08.591717,0.4176023255676214,585,COMPLETE
82,82,0.03148569119424061,2023-12-18 19:28:38.087107,2023-12-18 19:28:46.706540,0 days 00:00:08.619433,0.4291721518888004,573,COMPLETE
83,83,0.03149696014981012,2023-12-18 19:28:46.707766,2023-12-18 19:28:55.429365,0 days 00:00:08.721599,0.4203615119657873,568,COMPLETE
84,84,0.03150244437485391,2023-12-18 19:28:55.430271,2023-12-18 19:29:03.596214,0 days 00:00:08.165943,0.4252375929505154,552,COMPLETE
85,85,0.031443011507778576,2023-12-18 19:29:03.597103,2023-12-18 19:29:12.205366,0 days 00:00:08.608263,0.43814543742905937,510,COMPLETE
86,86,0.03146989884036538,2023-12-18 19:29:12.206261,2023-12-18 19:29:21.116449,0 days 00:00:08.910188,0.4087428350106803,538,COMPLETE
87,87,0.0314800448543974,2023-12-18 19:29:21.117361,2023-12-18 19:29:29.981462,0 days 00:00:08.864101,0.4609376573880723,527,COMPLETE
88,88,0.031470582885738556,2023-12-18 19:29:29.982380,2023-12-18 19:29:38.874728,0 days 00:00:08.892348,0.4460109191635046,552,COMPLETE
89,89,0.031481116393681376,2023-12-18 19:29:38.875667,2023-12-18 19:29:47.601364,0 days 00:00:08.725697,0.4287495398122831,584,COMPLETE
90,90,0.031419659068623054,2023-12-18 19:29:47.602341,2023-12-18 19:29:56.587205,0 days 00:00:08.984864,0.3952084078398567,416,COMPLETE
91,91,0.03150331821316299,2023-12-18 19:29:56.588058,2023-12-18 19:30:06.713892,0 days 00:00:10.125834,0.4221474860306701,574,COMPLETE
92,92,0.03147859768326113,2023-12-18 19:30:06.714940,2023-12-18 19:30:17.998391,0 days 00:00:11.283451,0.41396735718732974,552,COMPLETE
93,93,0.03146362381142197,2023-12-18 19:30:17.999305,2023-12-18 19:30:28.355722,0 days 00:00:10.356417,0.4357560302578856,608,COMPLETE
