,number,value,datetime_start,datetime_complete,duration,params_alpha1,params_alpha2,params_alpha3,params_min_interactions,state
54,54,0.031151651673025013,2023-12-09 15:41:36.925302,2023-12-09 15:41:42.973664,0 days 00:00:06.048362,1.917837626138546,1.5733810962384787,0.2555754231395837,1,COMPLETE
55,55,0.03115610785299927,2023-12-09 15:41:42.974300,2023-12-09 15:41:48.852629,0 days 00:00:05.878329,1.917969438209021,1.3327199316268257,0.11925611828074303,1,COMPLETE
56,56,0.031079150771508576,2023-12-09 15:41:48.853306,2023-12-09 15:41:54.939270,0 days 00:00:06.085964,1.9993387494659038,1.4604086242351288,0.06490056165038105,2,COMPLETE
57,57,0.03093013168466568,2023-12-09 15:41:54.939932,2023-12-09 15:42:00.922357,0 days 00:00:05.982425,1.7471509832874736,1.3837076983140617,0.23580033574325115,2,COMPLETE
58,58,0.031200835721561345,2023-12-09 15:42:00.926963,2023-12-09 15:42:06.998472,0 days 00:00:06.071509,1.871304518778266,1.1030415270997056,0.08801454072985636,1,COMPLETE
59,59,0.030896510656873682,2023-12-09 15:42:06.999046,2023-12-09 15:42:12.965727,0 days 00:00:05.966681,1.7268596053126946,1.4915682369861214,0.21015732302590795,3,COMPLETE
60,60,0.0308836956796804,2023-12-09 15:42:12.966408,2023-12-09 15:42:19.051149,0 days 00:00:06.084741,1.840266718868663,1.1604489628456802,0.3339384823267727,1,COMPLETE
61,61,0.031224808941778117,2023-12-09 15:42:19.051800,2023-12-09 15:42:25.120655,0 days 00:00:06.068855,1.931776921904701,1.3145324959398312,0.09992183548716746,1,COMPLETE
62,62,0.031008124719264837,2023-12-09 15:42:25.121242,2023-12-09 15:42:31.113620,0 days 00:00:05.992378,1.92327096676365,1.307000728738745,0.1051986882910539,2,COMPLETE
63,63,0.03114959953690549,2023-12-09 15:42:31.114321,2023-12-09 15:42:37.093935,0 days 00:00:05.979614,1.9367870507147444,1.4354572116027147,0.023835821621022282,1,COMPLETE
64,64,0.030991023584935724,2023-12-09 15:42:37.094568,2023-12-09 15:42:43.161357,0 days 00:00:06.066789,1.8462394115910523,1.5661612467376005,0.1826705688419097,2,COMPLETE
65,65,0.031107062195145325,2023-12-09 15:42:43.162032,2023-12-09 15:42:49.376134,0 days 00:00:06.214102,1.9937774587822945,1.341522236811102,0.12785155735021353,1,COMPLETE
66,66,0.03086111032030753,2023-12-09 15:42:49.377051,2023-12-09 15:42:55.514118,0 days 00:00:06.137067,1.769004677938575,1.2629340354369063,0.22787175325666356,2,COMPLETE
67,67,0.03038462329265468,2023-12-09 15:42:55.514885,2023-12-09 15:43:01.662941,0 days 00:00:06.148056,1.8921059937601594,1.4046185352789795,0.2795562484732237,5,COMPLETE
68,68,0.031215327203021778,2023-12-09 15:43:01.663806,2023-12-09 15:43:07.527948,0 days 00:00:05.864142,1.9367928766849456,1.1923135132487057,0.07263883601379653,1,COMPLETE
69,69,0.030931907039420267,2023-12-09 15:43:07.528535,2023-12-09 15:43:13.581003,0 days 00:00:06.052468,1.8257904303190289,1.0897489944508705,0.15170569304416343,2,COMPLETE
70,70,0.03122091818659201,2023-12-09 15:43:13.581832,2023-12-09 15:43:19.426547,0 days 00:00:05.844715,1.6898310496926316,1.6250020124591278,0.19734170252522432,1,COMPLETE
71,71,0.03114714013677766,2023-12-09 15:43:19.427234,2023-12-09 15:43:25.545211,0 days 00:00:06.117977,1.8865758999129671,1.6157625590152547,0.01018095081510155,1,COMPLETE
72,72,0.03119256391277143,2023-12-09 15:43:25.545944,2023-12-09 15:43:31.403104,0 days 00:00:05.857160,1.9521027605643388,1.5143264245128916,0.20011072795783874,1,COMPLETE
73,73,0.031274601909317155,2023-12-09 15:43:31.404298,2023-12-09 15:43:37.286289,0 days 00:00:05.881991,1.6894393168885435,1.693863970933428,0.06928270058933839,1,COMPLETE
74,74,0.03104715879974969,2023-12-09 15:43:37.286888,2023-12-09 15:43:43.084245,0 days 00:00:05.797357,1.768948457315357,1.7363107977077328,0.08889791588433793,2,COMPLETE
75,75,0.03101859496289579,2023-12-09 15:43:43.084851,2023-12-09 15:43:49.064745,0 days 00:00:05.979894,1.8717009937995184,1.456506322162062,0.29657415301008083,1,COMPLETE
76,76,0.030930234489172558,2023-12-09 15:43:49.066607,2023-12-09 15:43:55.000688,0 days 00:00:05.934081,1.940229501264776,1.2843397945237036,0.12047272310530568,2,COMPLETE
77,77,0.03126031208285124,2023-12-09 15:43:55.001655,2023-12-09 15:44:00.945082,0 days 00:00:05.943427,1.80582208065393,1.3302169296087831,0.054759663503770845,1,COMPLETE
78,78,0.0306717048783114,2023-12-09 15:44:00.945747,2023-12-09 15:44:06.804187,0 days 00:00:05.858440,1.5430266937047974,1.3689658178453747,0.3761454586197285,2,COMPLETE
79,79,0.031264159343822796,2023-12-09 15:44:06.804794,2023-12-09 15:44:12.860359,0 days 00:00:06.055565,1.70814580722783,1.5068556912135433,0.05463979972576905,1,COMPLETE
80,80,0.03126247888553611,2023-12-09 15:44:12.861099,2023-12-09 15:44:18.600070,0 days 00:00:05.738971,1.6931758505578969,1.492086963141948,0.05176374806515125,1,COMPLETE
81,81,0.031235579690890768,2023-12-09 15:44:18.601096,2023-12-09 15:44:24.612422,0 days 00:00:06.011326,1.706507948527646,1.5095990301734405,0.1618884803058333,1,COMPLETE
82,82,0.03128608438193957,2023-12-09 15:44:24.613126,2023-12-09 15:44:30.545917,0 days 00:00:05.932791,1.789061366652051,1.7116843970342885,0.04387519223823205,1,COMPLETE
83,83,0.03126937864956024,2023-12-09 15:44:30.547145,2023-12-09 15:44:36.603266,0 days 00:00:06.056121,1.6562998041560473,1.715752119308784,0.057848317207732494,1,COMPLETE
84,84,0.03108063352882033,2023-12-09 15:44:36.604005,2023-12-09 15:44:42.653952,0 days 00:00:06.049947,1.6565556316823316,1.7127665885426024,0.04198545496747699,2,COMPLETE
85,85,0.03128263252291775,2023-12-09 15:44:42.655384,2023-12-09 15:44:48.663634,0 days 00:00:06.008250,1.5632649108014527,1.6703907651544962,0.15612733310241125,1,COMPLETE
86,86,0.031328230275769385,2023-12-09 15:44:48.664289,2023-12-09 15:44:54.727277,0 days 00:00:06.062988,1.5260078394851804,1.7692589138103383,0.1466125937562271,1,COMPLETE
87,87,0.03128314259143301,2023-12-09 15:44:54.727866,2023-12-09 15:45:00.765295,0 days 00:00:06.037429,1.563557118444094,1.743936377006137,0.15408088424714822,1,COMPLETE
88,88,0.030386754509164105,2023-12-09 15:45:00.766381,2023-12-09 15:45:06.849291,0 days 00:00:06.082910,1.5240627617473639,1.782959129381815,0.15758225951543717,7,COMPLETE
89,89,0.03021516192500677,2023-12-09 15:45:06.849908,2023-12-09 15:45:12.789188,0 days 00:00:05.939280,1.6004110086414824,1.681532609283436,0.3063436876480218,6,COMPLETE
90,90,0.031003348263711258,2023-12-09 15:45:12.790571,2023-12-09 15:45:18.844687,0 days 00:00:06.054116,1.5291924717099592,1.8435374746061308,0.20799049102366934,2,COMPLETE
91,91,0.03127870222753665,2023-12-09 15:45:18.845316,2023-12-09 15:45:24.821480,0 days 00:00:05.976164,1.6591734924567392,1.6365360074197908,0.14516114575474753,1,COMPLETE
92,92,0.031164344075613724,2023-12-09 15:45:24.822124,2023-12-09 15:45:31.099537,0 days 00:00:06.277413,1.6651307886396156,1.6590250357489607,0.011125062384574447,1,COMPLETE
93,93,0.031305633054337964,2023-12-09 15:45:31.100200,2023-12-09 15:45:37.091248,0 days 00:00:05.991048,1.627119910161425,1.746125089496874,0.12889214987501718,1,COMPLETE
94,94,0.03132265906229662,2023-12-09 15:45:37.091902,2023-12-09 15:45:43.264147,0 days 00:00:06.172245,1.4704774284725617,1.7645241729340304,0.13766441475665298,1,COMPLETE
95,95,0.031288219552468535,2023-12-09 15:45:43.264852,2023-12-09 15:45:49.279969,0 days 00:00:06.015117,1.42234855435759,1.753729958180914,0.13649471436828273,1,COMPLETE
96,96,0.03092833655981356,2023-12-09 15:45:49.280892,2023-12-09 15:45:55.299508,0 days 00:00:06.018616,1.4749179214803192,1.856383046987235,0.2667171684315132,2,COMPLETE
97,97,0.03130667296146603,2023-12-09 15:45:55.300128,2023-12-09 15:46:01.610929,0 days 00:00:06.310801,1.3880325830575635,1.7825470901272313,0.13201929489845388,1,COMPLETE
98,98,0.030154313518951082,2023-12-09 15:46:01.611633,2023-12-09 15:46:07.547796,0 days 00:00:05.936163,1.381253892778787,1.7614583067219551,0.14194776613602145,8,COMPLETE
99,99,0.03120153953703206,2023-12-09 15:46:07.548468,2023-12-09 15:46:13.682050,0 days 00:00:06.133582,1.468877730551544,1.829746077741834,0.22412080673755558,1,COMPLETE
