,Fold,MAP,topK,alpha,beta,normalize_similarity
120,0,0.004704372367432041,104,0.37564092394574666,0.760745596916306,False
121,1,0.00434299696109344,104,0.37564092394574666,0.760745596916306,False
122,2,0.0044302382374977545,104,0.37564092394574666,0.760745596916306,False
123,3,0.0042911023882744774,104,0.37564092394574666,0.760745596916306,False
124,4,0.0042785003589136655,104,0.37564092394574666,0.760745596916306,False
125,5,0.004392216563506381,104,0.37564092394574666,0.760745596916306,False
126,6,0.004681266593513317,104,0.37564092394574666,0.760745596916306,False
127,7,0.004464718600277062,104,0.37564092394574666,0.760745596916306,False
128,0,0.02496614791387953,93,0.2655330932195405,0.38818731049749844,False
129,1,0.02420137155031793,93,0.2655330932195405,0.38818731049749844,False
130,2,0.024916252533012138,93,0.2655330932195405,0.38818731049749844,False
131,3,0.024690398990188427,93,0.2655330932195405,0.38818731049749844,False
132,4,0.023983711816895546,93,0.2655330932195405,0.38818731049749844,False
133,5,0.025024570112443162,93,0.2655330932195405,0.38818731049749844,False
134,6,0.024683335855862677,93,0.2655330932195405,0.38818731049749844,False
135,7,0.024788306835944986,93,0.2655330932195405,0.38818731049749844,False
136,0,0.02483131867525791,7,0.37545520835041213,0.11555215723083434,False
137,1,0.02406248464297999,7,0.37545520835041213,0.11555215723083434,False
138,2,0.02472664017475812,7,0.37545520835041213,0.11555215723083434,False
139,3,0.024683769315989593,7,0.37545520835041213,0.11555215723083434,False
140,4,0.024468732519795772,7,0.37545520835041213,0.11555215723083434,False
141,5,0.02535288689880124,7,0.37545520835041213,0.11555215723083434,False
142,6,0.024800609821467957,7,0.37545520835041213,0.11555215723083434,False
143,7,0.024881103295334734,7,0.37545520835041213,0.11555215723083434,False
144,0,0.024056762617022807,97,0.2675688684798103,0.3053597215207785,False
145,1,0.023471427620284126,97,0.2675688684798103,0.3053597215207785,False
146,2,0.0240612601676135,97,0.2675688684798103,0.3053597215207785,False
147,3,0.023963566239438728,97,0.2675688684798103,0.3053597215207785,False
148,4,0.023174187215067716,97,0.2675688684798103,0.3053597215207785,False
149,5,0.023996217720681997,97,0.2675688684798103,0.3053597215207785,False
150,6,0.023547113753460608,97,0.2675688684798103,0.3053597215207785,False
151,7,0.023956796389492552,97,0.2675688684798103,0.3053597215207785,False
